,Lat,Lon,Date,Emission
1,33.797174,-117.461732,2022-03-02 18:22:28+00:00,1033.416432
2,33.715718,-117.697324,2022-03-02 18:29:46+00:00,253.3476399
3,33.720865,-117.703204,2022-03-02 18:29:46+00:00,350.661087
4,34.328494,-118.516111,2022-03-02 18:47:22+00:00,695.7833833
5,34.403933,-118.99706,2022-03-02 18:54:39+00:00,514.6156278
6,33.720324,-117.703238,2022-03-02 19:53:44+00:00,477.9515358
7,33.796276,-117.462914,2022-03-02 20:00:03+00:00,648.8269327
8,34.3302,-118.517751,2022-03-02 20:18:38+00:00,597.4165249
9,34.405117,-118.994027,2022-03-02 20:59:15+00:00,1123.290598
10,34.327481,-118.518051,2022-03-08 22:16:13+00:00,1384.986561
11,33.715342,-117.70036,2022-03-11 18:53:38+00:00,719.107532
12,34.325482,-118.517633,2022-03-11 19:13:44+00:00,1858.819974
13,34.403755,-118.997204,2022-03-11 19:21:31+00:00,550.4067913
14,34.325744,-118.516348,2022-03-11 20:06:06+00:00,1289.844935
15,33.720566,-117.704825,2022-03-11 20:25:15+00:00,856.9973957
16,34.327324,-118.516384,2022-03-11 20:52:03+00:00,1583.393618
17,34.403755,-118.997204,2022-03-11 20:59:20+00:00,1121.316856
18,34.325722,-118.515921,2022-03-11 21:43:08+00:00,3311.003424
19,33.796733,-117.463668,2022-03-18 18:30:50+00:00,818.3775319
20,33.716065,-117.698662,2022-03-18 18:37:27+00:00,310.623388
21,33.720787,-117.704105,2022-03-18 18:37:27+00:00,305.5610774
22,34.327091,-118.516277,2022-03-18 18:57:10+00:00,357.6225303
23,34.317442,-118.507522,2022-03-18 18:57:10+00:00,274.4939829
24,34.405178,-118.992791,2022-03-18 19:05:18+00:00,712.9730007
25,34.404972,-118.992691,2022-03-18 19:58:13+00:00,510.5063092
26,34.32717,-118.516216,2022-03-18 20:06:06+00:00,163.18397
28,34.317588,-118.507595,2022-03-18 20:06:06+00:00,161.3087564
30,33.715349,-117.698999,2022-03-18 20:31:32+00:00,399.5726976
31,34.317657,-118.507638,2022-03-18 20:50:55+00:00,444.6605748
32,34.327268,-118.516188,2022-03-18 20:50:55+00:00,140.7880797
33,34.405234,-118.992184,2022-03-18 20:59:07+00:00,363.9662018
34,34.406525,-118.992124,2022-03-18 21:31:36+00:00,872.0923865
35,34.32772,-118.517372,2022-03-18 21:40:57+00:00,940.5071445
36,36.572873,-108.182065,2022-03-23 18:16:21+00:00,454.0167497
37,36.792961,-108.389035,2022-03-23 18:47:23+00:00,165.1700403
38,36.792945,-108.388937,2022-03-23 19:04:01+00:00,472.1053561
39,36.564851,-108.033643,2022-03-23 19:04:01+00:00,472.3440284
40,36.47918,-107.710691,2022-03-23 20:10:41+00:00,334.3050155
41,36.479247,-107.710614,2022-03-23 20:28:00+00:00,407.8699057
42,36.585262,-107.852477,2022-03-23 20:28:00+00:00,452.2597706
43,36.757777,-107.999486,2022-03-23 21:01:57+00:00,312.5765434
44,36.732521,-107.96125,2022-03-23 21:01:57+00:00,426.9117469
45,36.530068,-107.656399,2022-03-23 21:01:57+00:00,238.0121254
46,36.531942,-107.655539,2022-03-23 21:01:57+00:00,406.7389462
47,36.735991,-107.931755,2022-03-23 21:16:41+00:00,643.3842545
48,36.711261,-107.894347,2022-03-23 21:16:41+00:00,245.8756101
49,36.53236,-107.655458,2022-03-23 21:16:41+00:00,328.5700304
50,36.75886,-107.912618,2022-03-24 16:30:56+00:00,105.1118702
51,36.701993,-107.832366,2022-03-24 16:30:56+00:00,55.53881932
52,36.459465,-107.494425,2022-03-24 16:30:56+00:00,655.9315441
53,36.432543,-107.477854,2022-03-24 16:30:56+00:00,176.3438516
54,36.404555,-107.422965,2022-03-24 16:30:56+00:00,569.0430188
55,36.404797,-107.413644,2022-03-24 16:30:56+00:00,512.74606
56,36.929159,-108.15004,2022-03-24 16:48:48+00:00,113.5931736
57,36.925566,-108.149073,2022-03-24 16:48:48+00:00,48.69459506
58,36.759177,-107.912516,2022-03-24 16:48:48+00:00,58.57460936
59,36.477221,-107.496761,2022-03-24 16:48:48+00:00,545.7345489
60,36.865301,-107.994054,2022-03-24 17:08:57+00:00,95.3037967
61,36.822567,-107.921865,2022-03-24 17:08:57+00:00,119.8143647
62,36.560016,-107.565026,2022-03-24 17:08:57+00:00,696.8790214
63,36.918962,-108.018786,2022-03-24 17:26:53+00:00,276.8092072
64,36.770688,-107.81605,2022-03-24 17:26:53+00:00,228.4577577
65,36.767597,-107.803647,2022-03-24 17:26:53+00:00,258.4724669
66,36.664923,-107.674801,2022-03-24 17:26:53+00:00,134.0228791
67,36.939912,-108.045577,2022-03-24 17:47:03+00:00,53.89737216
68,36.491906,-107.346024,2022-03-24 17:47:03+00:00,428.2031918
69,36.455192,-107.3218,2022-03-24 17:47:03+00:00,84.1521327
70,36.787297,-107.76106,2022-03-24 18:04:49+00:00,212.3778273
71,36.561831,-107.396292,2022-03-24 18:04:49+00:00,154.6924577
72,36.506158,-107.352409,2022-03-24 18:04:49+00:00,301.6889465
73,37.018437,-108.024329,2022-03-24 18:24:39+00:00,311.7981769
74,36.84297,-107.808426,2022-03-24 18:24:39+00:00,114.8593649
75,36.730073,-107.649603,2022-03-24 18:24:39+00:00,206.9141313
76,36.643837,-107.494247,2022-03-24 18:24:39+00:00,530.9850757
77,36.871832,-107.764638,2022-03-24 18:41:33+00:00,362.0328604
78,36.8641,-107.765376,2022-03-24 18:41:33+00:00,207.3367241
79,36.864924,-107.754161,2022-03-24 18:41:33+00:00,110.3821938
80,36.85967,-107.74626,2022-03-24 18:41:33+00:00,101.3893927
81,36.837278,-107.738743,2022-03-24 18:41:33+00:00,267.0943433
82,36.745705,-107.59845,2022-03-24 18:41:33+00:00,645.0976264
83,36.702223,-107.537342,2022-03-24 18:41:33+00:00,206.7789073
84,36.593392,-107.39374,2022-03-24 18:41:33+00:00,246.38999
85,36.88797,-107.755617,2022-03-24 19:01:05+00:00,811.7919557
86,36.865049,-107.754097,2022-03-24 19:01:05+00:00,277.3007789
87,36.859732,-107.746133,2022-03-24 19:01:05+00:00,153.4437457
88,36.723296,-107.527625,2022-03-24 19:01:05+00:00,250.4767043
89,36.650028,-107.396739,2022-03-24 19:01:05+00:00,436.8084631
90,36.574881,-107.286732,2022-03-24 19:01:05+00:00,611.9830954
91,37.02112,-107.917843,2022-03-24 19:18:18+00:00,95.84981637
92,36.858475,-107.685613,2022-03-24 19:18:18+00:00,323.2764625
93,36.845872,-107.673173,2022-03-24 19:18:18+00:00,394.2163276
94,36.789349,-107.569288,2022-03-24 19:18:18+00:00,458.5446839
95,36.708693,-107.444561,2022-03-24 19:18:18+00:00,315.7772566
96,36.575288,-107.286552,2022-03-24 19:18:18+00:00,689.4886364
97,36.974453,-107.79658,2022-03-24 19:38:09+00:00,252.685169
98,36.916965,-107.700978,2022-03-24 19:38:09+00:00,565.0598738
99,36.736236,-107.438217,2022-03-24 19:38:09+00:00,535.6092747
100,36.723275,-107.410457,2022-03-24 19:38:09+00:00,142.5894797
101,36.663288,-107.346525,2022-03-24 19:38:09+00:00,393.5615806
102,37.066149,-107.868838,2022-03-24 19:55:37+00:00,266.7726376
103,36.824776,-107.537026,2022-03-24 19:55:37+00:00,291.608865
104,36.718583,-107.370317,2022-03-24 19:55:37+00:00,1598.275317
105,36.611683,-107.245173,2022-03-24 19:55:37+00:00,362.8155102
106,37.066174,-107.868868,2022-03-24 19:55:37+00:00,277.3289709
107,36.851495,-107.574901,2022-03-24 20:15:27+00:00,237.3520289
108,36.824748,-107.536929,2022-03-24 20:15:27+00:00,319.8033351
109,36.829231,-107.52798,2022-03-24 20:15:27+00:00,155.202167
110,36.817096,-107.525671,2022-03-24 20:15:27+00:00,182.4323797
111,36.765316,-107.412674,2022-03-24 20:15:27+00:00,247.6775479
112,37.053716,-107.784868,2022-03-24 20:28:50+00:00,227.555215
113,36.96572,-107.673001,2022-03-24 20:28:50+00:00,301.7877438
114,36.765681,-107.41254,2022-03-24 20:28:50+00:00,533.1793193
115,37.053793,-107.78597,2022-03-24 20:44:13+00:00,488.1352433
116,37.044783,-107.730804,2022-03-24 20:44:13+00:00,264.619091
117,36.908252,-107.561389,2022-03-24 20:44:13+00:00,171.1682765
118,36.873675,-107.513544,2022-03-24 20:44:13+00:00,372.6214642
119,36.871615,-107.499557,2022-03-24 20:44:13+00:00,289.6030658
120,36.811874,-107.4038,2022-03-24 20:44:13+00:00,164.4402068
121,36.770802,-107.347034,2022-03-24 20:44:13+00:00,1284.831991
122,37.045106,-107.730701,2022-03-24 20:58:11+00:00,306.4333905
123,36.965095,-107.567778,2022-03-24 20:58:11+00:00,95.76480654
124,36.932334,-107.560059,2022-03-24 20:58:11+00:00,162.1472102
125,36.836494,-107.420055,2022-03-24 20:58:11+00:00,213.9864123
126,37.142453,-107.787535,2022-03-24 21:12:35+00:00,1963.337855
127,37.108974,-107.754736,2022-03-24 21:12:35+00:00,317.7649905
128,37.050331,-107.675752,2022-03-24 21:12:35+00:00,327.7240831
129,36.918562,-107.470462,2022-03-24 21:12:35+00:00,135.3943847
130,36.86847,-107.391351,2022-03-24 21:12:35+00:00,225.2339174
131,36.82936,-107.361243,2022-03-24 21:12:35+00:00,396.614583
132,36.809456,-107.338288,2022-03-24 21:12:35+00:00,1217.312681
133,37.143442,-107.787211,2022-03-24 21:25:42+00:00,4995.786543
134,37.053997,-107.62629,2022-03-24 21:25:42+00:00,103.3157148
135,36.934791,-107.470758,2022-03-24 21:25:42+00:00,276.0721705
136,36.793308,-108.389105,2022-03-25 17:39:25+00:00,219.0224808
137,36.8103,-108.356427,2022-03-25 17:55:29+00:00,77.8466418
138,36.814121,-108.328838,2022-03-25 17:55:29+00:00,126.8269766
139,36.620435,-108.077554,2022-03-25 17:55:29+00:00,117.5863743
140,36.814514,-108.328882,2022-03-25 18:09:40+00:00,135.5458572
141,36.600122,-107.97591,2022-03-25 18:09:40+00:00,82.53516477
142,36.709705,-108.128608,2022-03-25 18:25:53+00:00,184.8702388
143,36.457577,-107.740842,2022-03-25 18:25:53+00:00,149.9572804
144,36.822488,-108.204312,2022-03-25 18:40:19+00:00,343.5636146
145,36.788635,-108.204455,2022-03-25 18:40:19+00:00,184.9297686
146,36.577187,-107.867678,2022-03-25 18:40:19+00:00,106.7371675
147,36.479157,-107.710692,2022-03-25 18:40:19+00:00,196.9682071
148,36.653954,-107.956807,2022-03-25 18:58:25+00:00,78.59808804
149,36.479159,-107.710692,2022-03-25 18:58:25+00:00,100.579003
150,36.477526,-107.693576,2022-03-25 18:58:25+00:00,89.54543195
151,36.685918,-107.930255,2022-03-25 19:12:54+00:00,105.0874565
152,36.623383,-107.852384,2022-03-25 19:12:54+00:00,131.7521218
153,36.51592,-107.715957,2022-03-25 19:12:54+00:00,402.4896014
154,36.732222,-107.95845,2022-03-25 19:28:54+00:00,2238.465522
155,36.728803,-107.957256,2022-03-25 19:28:54+00:00,283.8056712
156,36.73248,-107.961389,2022-03-25 19:28:54+00:00,444.0693214
157,36.991505,-107.521305,2022-03-25 20:04:07+00:00,200.5598997
158,36.978297,-107.486322,2022-03-25 20:04:07+00:00,129.0435385
159,37.0579,-107.546703,2022-03-25 20:18:33+00:00,279.1554229
160,36.996592,-107.448146,2022-03-25 20:18:33+00:00,252.632514
161,34.902403,-117.15979,2022-04-01 18:32:17+00:00,110.0527016
162,36.371722,-114.872026,2022-04-01 19:16:21+00:00,92.35890725
163,36.370637,-114.864447,2022-04-01 19:16:21+00:00,190.7485249
164,36.371824,-114.857613,2022-04-01 19:16:21+00:00,652.8842009
165,32.850611,-117.166576,2022-04-01 20:58:16+00:00,282.5217913
166,32.85239,-117.165235,2022-04-01 20:58:16+00:00,301.0742069
