plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,cmf_type,plume_bounds,instrument,plume_png_object,plume_tif_object,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider
GAO20220506t173302p0000-C,30.602253,-91.233755,2022-05-06T17:33:02+00,Solid Waste (6A),CH4,mf,"[-91.23695052924373, 30.598298926610045, -91.2276193772263, 30.606298954535117]",GAO,,,,,,,,,,Global Airborne Observatory,ASU GDCS
GAO20220506t173302p0000-D,30.601371,-91.230779,2022-05-06T17:33:02+00,Solid Waste (6A),CH4,mf,"[-91.23695052924373, 30.598298926610045, -91.2276193772263, 30.606298954535117]",GAO,,,,,,,,,,Global Airborne Observatory,ASU GDCS
GAO20220506t174405p0000-A,30.084048,-90.916151,2022-05-06T17:44:05+00,Other,CH4,mf,"[-90.9189010054254, 30.081621175495105, -90.91067536166396, 30.088738669666355]",GAO,,,542.7524258,243.2099558,,,,,hrrr,Global Airborne Observatory,ASU GDCS
GAO20220506t174405p0000-B,30.081087,-90.916436,2022-05-06T17:44:05+00,Other,CH4,mf,"[-90.9196416489898, 30.077432883282167, -90.91134344961772, 30.084644952835195]",GAO,,,611.9020014,341.950597,,,,,hrrr,Global Airborne Observatory,ASU GDCS
GAO20220506t174836p0000-A,30.084047,-90.916136,2022-05-06T17:48:36+00,Other,CH4,mf,"[-90.91884957032654, 30.080609951297433, -90.91062401009907, 30.087727445961264]",GAO,,,1041.722278,403.3477498,,,,,hrrr,Global Airborne Observatory,ASU GDCS
GAO20220506t174836p0000-B,30.081097,-90.916427,2022-05-06T17:48:36+00,Other,CH4,mf,"[-90.919470754185, 30.076924971603095, -90.91117259765528, 30.08413704095325]",GAO,,,752.0733021,276.5551907,,,,,hrrr,Global Airborne Observatory,ASU GDCS
GAO20220506t182728p0000-A,30.177304,-91.083994,2022-05-06T18:27:28+00,Oil & Gas (1B2),CH4,mf,"[-91.08774502227735, 30.173328956504402, -91.07951122622917, 30.180446889077217]",GAO,,,662.1038955,76.81480203,,,,,hrrr,Global Airborne Observatory,ASU GDCS
GAO20220506t183449p0000-A,30.260491,-91.184346,2022-05-06T18:34:49+00,Electricity Generation (1A1),CH4,mf,"[-91.18771758234193, 30.25700751855459, -91.17951289004634, 30.264125757296267]",GAO,,,1164.747653,373.6788371,,,,,hrrr,Global Airborne Observatory,ASU GDCS
GAO20220506t183449p0000-B,30.196919,-91.101229,2022-05-06T18:34:49+00,Oil & Gas (1B2),CH4,mf,"[-91.10492080999158, 30.193060580321543, -91.0966123382049, 30.200210132710243]",GAO,,,375.2284329,73.28004462,,,,,hrrr,Global Airborne Observatory,ASU GDCS
GAO20220506t183449p0000-C,30.097801,-90.957107,2022-05-06T18:34:49+00,Other,CH4,mf,"[-90.95892256813619, 30.093458473888916, -90.95073210573742, 30.100576172122878]",GAO,,,1675.535458,300.6599029,,,,,hrrr,Global Airborne Observatory,ASU GDCS
GAO20220506t184839p0000-A,30.097715,-90.956883,2022-05-06T18:48:39+00,Other,CH4,mf,"[-90.9598981308189, 30.093694748270895, -90.95167134672249, 30.10081235997204]",GAO,,,2126.951695,246.9910504,,,,,hrrr,Global Airborne Observatory,ASU GDCS
GAO20220506t185853p0000-A,30.081052,-90.916445,2022-05-06T18:58:53+00,Other,CH4,mf,"[-90.91971170115806, 30.07755963169231, -90.91137699084742, 30.084771791792722]",GAO,,,1241.076708,251.9831458,,,,,hrrr,Global Airborne Observatory,ASU GDCS
GAO20220506t185853p0000-B,30.084188,-90.915361,2022-05-06T18:58:53+00,Other,CH4,mf,"[-90.91825382935475, 30.079558015796295, -90.90995545829271, 30.086770079610876]",GAO,,,2010.466849,569.3425397,,,,,hrrr,Global Airborne Observatory,ASU GDCS
GAO20220506t193353p0000-A,30.084062,-90.916237,2022-05-06T19:33:53+00,Other,CH4,mf,"[-90.91870704138054, 30.08048130666863, -90.91051778569293, 30.087598890326213]",GAO,,,1771.870896,326.3492245,,,,,hrrr,Global Airborne Observatory,ASU GDCS
GAO20220506t193353p0000-B,30.081085,-90.916455,2022-05-06T19:33:53+00,Other,CH4,mf,"[-90.91986017863518, 30.0774041065753, -90.91152548077379, 30.084616267241966]",GAO,,,902.4036582,227.633798,,,,,hrrr,Global Airborne Observatory,ASU GDCS
GAO20220506t194111p0000-A,30.000539,-90.397601,2022-05-06T19:41:11+00,Electricity Generation (1A1),CH4,mf,"[-90.40050830166044, 29.99727957078341, -90.39221888252177, 30.004426870706993]",GAO,,,1021.946826,388.520049,,,,,hrrr,Global Airborne Observatory,ASU GDCS
GAO20220506t195745p0000-A,29.931254,-90.253337,2022-05-06T19:57:45+00,Oil & Gas (1B2),CH4,mf,"[-90.25488704458802, 29.92739916148884, -90.24413363009513, 29.936718260744044]",GAO,,,1464.248314,298.7107886,,,,,hrrr,Global Airborne Observatory,ASU GDCS
GAO20220506t195745p0000-B,29.9345,-90.262472,2022-05-06T19:57:45+00,Solid Waste (6A),CH4,mf,"[-90.26525400529187, 29.928377164969664, -90.24890528320279, 29.942544772324645]",GAO,,,2837.329909,1265.1991,,,,,hrrr,Global Airborne Observatory,ASU GDCS
GAO20220506t200303p0000-A,29.931278,-90.253223,2022-05-06T20:03:03+00,Oil & Gas (1B2),CH4,mf,"[-90.2558559155062, 29.92789150416387, -90.24760935138151, 29.935038165193614]",GAO,,,1913.053893,301.0961061,,,,,hrrr,Global Airborne Observatory,ASU GDCS
GAO20220506t200303p0000-B,29.935278,-90.262464,2022-05-06T20:03:03+00,Solid Waste (6A),CH4,mf,"[-90.26651544488404, 29.927111677485154, -90.24656995275957, 29.944364671050575]",GAO,,,4761.128547,1230.511349,,,,,hrrr,Global Airborne Observatory,ASU GDCS
GAO20220506t200303p0000-C,29.935182,-90.258808,2022-05-06T20:03:03+00,Solid Waste (6A),CH4,mf,"[-90.26651544488404, 29.927111677485154, -90.24656995275957, 29.944364671050575]",GAO,,,4696.416802,2168.145498,,,,,hrrr,Global Airborne Observatory,ASU GDCS
ang20220514t181218-A,37.458161,-121.940725,2022-05-14T18:12:18+00,Solid Waste (6A),CH4,mf,"[-121.94573242671285, 37.45132535634644, -121.92825748149268, 37.46519690838744]",ang,,,3375.362309,905.2015384,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220514t182158-A,37.45809,-121.940274,2022-05-14T18:21:58+00,Solid Waste (6A),CH4,mf,"[-121.94891271934836, 37.44659334495505, -121.92080851354247, 37.468854858695295]",ang,,,3669.39057,1068.296306,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220514t182953-A,37.759599,-121.727583,2022-05-14T18:29:53+00,Solid Waste (6A),CH4,mf,"[-121.73357512340621, 37.753882531909404, -121.72034751314332, 37.764294313828906]",ang,,,72.8820969,24.60878129,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220514t183955-A,37.75879,-121.726906,2022-05-14T18:39:55+00,Solid Waste (6A),CH4,mf,"[-121.7334270209325, 37.75330027814859, -121.72019951433059, 37.76371206042719]",ang,,,240.2173104,89.88886692,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220514t190216-A,37.993948,-121.93687,2022-05-14T19:02:16+00,Solid Waste (6A),CH4,mf,"[-121.94255624722162, 37.989025248800786, -121.92882610428019, 37.9998455699711]",ang,,,488.7871354,88.26767555,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220514t190216-B,37.997333,-121.934843,2022-05-14T19:02:16+00,Solid Waste (6A),CH4,mf,"[-121.94208221586464, 37.99260412690899, -121.9284121852417, 38.003376553195295]",ang,,,356.0968028,128.698837,,,,,hrrr,AVIRIS-NG,NASA-JPL
ang20220514t190736-A,37.993923,-121.938637,2022-05-14T19:07:36+00,Solid Waste (6A),CH4,mf,"[-121.94493735550398, 37.98868313226008, -121.93152569453802, 37.99925253454277]",ang,,,640.0379464,167.3573574,,,,,hrrr,AVIRIS-NG,NASA-JPL
